symbol,side,chain_id,resource,thumb,contract,resource_type,maker,show_decimals,token_uri,token_id,price,collect_name,creator_status,decimals,name,taker,order_id,erc_type
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/bd51b98a8308aa760f57e6a01adda4f8,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0xa222dc9d0798c8e9bb2909b46de785a8d4ca180d,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/31098.json,31098,1000000000000000000,ALPACA FINANCE,0,18,APE III - PhDPaca,0x0000000000000000000000000000000000000000,239461,erc1155
USDT,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/9244ad5adb907a579bac2109a3d2de90.png,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x120b720276d0750ffae9aa04dc32ed08d02c14b7,2,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/4205.json,4205,20000000000000000000,ALPACA FINANCE,0,18,48 Asks Alpaca Finance - Part 2,0x0000000000000000000000000000000000000000,239252,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/d92b6e9c7c54f8e1f9e617851cdd16d3,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x166d2f940dcee40cc25b909b196fd62e04a8019f,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33433.json,33433,50000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,239187,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/bd51b98a8308aa760f57e6a01adda4f8,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x6a33ce9fd5e464ad0e2d10655bdd9bbaea6dcc85,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/24384.json,24384,999000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,239118,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/5d5144225c59b1bd73aa8e7c60ddd43c,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x6a33ce9fd5e464ad0e2d10655bdd9bbaea6dcc85,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/24382.json,24382,166600000000000000,ALPACA FINANCE,0,18,APE II - TeenPaca,0x0000000000000000000000000000000000000000,239112,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/f0c807050e932dfa2e976777b63fc143,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x6a33ce9fd5e464ad0e2d10655bdd9bbaea6dcc85,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/24378.json,24378,66600000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,239110,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/f0c807050e932dfa2e976777b63fc143,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x114f49582f6ccd9b35e4566b02f91f3d5d6a8116,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/24046.json,24046,10000000000000000,ALPACA FINANCE,0,18,APE I - KinderPaca,0x0000000000000000000000000000000000000000,239076,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/5d5144225c59b1bd73aa8e7c60ddd43c,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x573f67f08b88cfb7a9b23862fac28c80038f3fae,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/22204.json,22204,100000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,238970,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/5d5144225c59b1bd73aa8e7c60ddd43c,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x89bab21efc42a894ce438ca976b79b86d661db63,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/23541.json,23541,100000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,238920,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/bd51b98a8308aa760f57e6a01adda4f8,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x89bab21efc42a894ce438ca976b79b86d661db63,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/23544.json,23544,200000000000000000,ALPACA FINANCE,0,18,APE III - PhDPaca,0x0000000000000000000000000000000000000000,238911,erc1155
